zip,leaid
67529,2008370
67550,2008370
67550,2008370
67550,2008370
67550,2008370
67550,2008370
67550,2008370
67567,2008370
67567,2008370
66047,2008400
66046,2008400
66047,2008400
66047,2008400
66044,2008400
66046,2008400
66046,2008400
66044,2008400
66049,2008400
66044,2008400
66044,2008400
66046,2008400
66044,2008400
66044,2008400
66046,2008400
66049,2008400
66044,2008400
66044,2008400
66046,2008400
66049,2008400
66046,2008400
66049,2008400
66047,2008400
66049,2008400
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
66048,2008430
67645,2008520
67645,2008520
67074,2008550
67074,2008550
67010,2008550
67074,2008550
67861,2008610
67861,2008610
67861,2008610
67861,2008610
67863,2008610
66857,2008670
66857,2008670
66852,2008670
66852,2008670
67552,2008700
67552,2008700
67901,2008730
67901,2008730
67901,2008730
67901,2008730
67901,2008730
67905,2008730
67901,2008730
67901,2008730
67901,2008730
67901,2008730
67455,2008790
67455,2008790
67457,2008880
67457,2008880
67491,2008880
67646,2008910
67646,2008910
66859,2008940
66859,2008940
66053,2008970
66053,2008970
66053,2008970
66053,2008970
66451,2009000
66451,2009000
67554,2009030
67554,2009030
67554,2009030
67554,2009030
67554,2009030
67557,2009060
67557,2009060
66860,2009090
66860,2009090
66944,2009120
66958,2009120
66944,2009120
67101,2009140
67101,2009140
67101,2009140
67101,2009140
67101,2009140
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66502,2009180
66517,2009180
66503,2009180
66503,2009180
66956,2009210
66956,2009210
66956,2009210
66851,2009240
66861,2009240
66861,2009240
66440,2009320
66440,2009320
66509,2009320
66054,2009360
66054,2009360
67460,2009390
67460,2009390
67460,2009390
67460,2009390
67460,2009390
67460,2009390
67864,2009420
67864,2009420
67104,2009450
67104,2009450
67104,2009450
67138,2009450
66510,2009480
66510,2009480
66528,2009480
66512,2009510
66512,2009510
66512,2009510
67436,2009570
67467,2009570
67467,2009570
67865,2009600
67865,2009600
67867,2009630
67867,2009630
66755,2009660
66755,2009660
67650,2009690
67650,2009690
67952,2009720
