zip,leaid
35401,0103360
35401,0103360
35401,0103360
35401,0103360
35405,0103360
35401,0103360
35401,0103360
35405,0103360
35406,0103360
35405,0103360
35405,0103390
35487,0103390
35404,0103390
35405,0103390
35404,0103390
35444,0103390
35444,0103390
35446,0103390
35453,0103390
35476,0103390
35405,0103390
35476,0103390
35405,0103390
35404,0103390
35476,0103390
35456,0103390
35463,0103390
35476,0103390
35476,0103390
35476,0103390
35476,0103390
35490,0103390
35476,0103390
35476,0103390
35452,0103390
35476,0103390
35476,0103390
35674,0103420
35674,0103420
35674,0103420
35674,0103420
35674,0103420
35216,0103430
35216,0103430
35216,0103430
35216,0103430
35216,0103430
35549,0103450
35549,0103450
35550,0103450
35550,0103450
35550,0103450
35501,0103450
35501,0103450
35062,0103450
35063,0103450
35501,0103450
35578,0103450
35579,0103450
35579,0103450
35580,0103450
35580,0103450
35584,0103450
35148,0103450
35062,0103450
35560,0103450
35587,0103450
35501,0103450
35501,0103450
36553,0103480
36518,0103480
36518,0103480
36518,0103480
36539,0103480
36548,0103480
36553,0103480
36558,0103480
36553,0103480
36585,0103480
36769,0103510
36720,0103510
36726,0103510
36769,0103510
36768,0103510
36726,0103510
36726,0103510
35594,0103540
35594,0103540
35594,0103540
35540,0103580
35553,0103580
35553,0103580
35575,0103580
35541,0103580
99559,0200001
99559,0200001
99559,0200001
99561,0200001
99614,0200001
99559,0200001
99622,0200001
99637,0200001
99641,0200001
99651,0200001
99681,0200001
99609,0200001
99578,0200001
99680,0200001
99630,0200001
99634,0200001
99559,0200001
99621,0200001
99559,0200001
99559,0200001
99655,0200001
99690,0200001
99695,0200001
99589,0200001
99609,0200001
99559,0200001
96506,0200002
96506,0200002
99554,0200003
99581,0200003
99585,0200003
99604,0200003
99632,0200003
99658,0200003
99657,0200003
99650,0200003
99620,0200003
99662,0200003
99666,0200003
99551,0200004
99679,0200004
99552,0200004
99551,0200004
99679,0200004
99552,0200004
99563,0200005
99563,0200005
99835,0200006
99553,0200007
99571,0200007
99583,0200007
99571,0200007
99612,0200007
99661,0200007
99547,0200010
99742,0200020
99735,0200020
99769,0200020
99772,0200020
99778,0200020
99684,0200020
99783,0200020
99784,0200020
99739,0200020
99762,0200020
99785,0200020
99771,0200020
99659,0200020
99671,0200020
99762,0200020
99633,0200030
99633,0200030
99633,0200030
99780,0200050
99737,0200050
99738,0200050
99780,0200050
99764,0200050
99780,0200050
99776,0200050
99779,0200050
99780,0200050
99574,0200060
99574,0200060
99586,0200070
99573,0200070
99586,0200070
99588,0200070
99573,0200070
99588,0200070
99573,0200070
99588,0200070
99586,0200070
99588,0200070
99921,0200090
99921,0200090
99737,0200100
99737,0200100
99737,0200100
99737,0200100
99737,0200100
99737,0200100
99576,0200120
99576,0200120
99741,0200130
99741,0200130
99901,0200150
99901,0200150
99901,0200150
99901,0200150
99901,0200150
99901,0200150
99901,0200150
99901,0200150
99507,0200180
99508,0200180
99506,0200180
99506,0200180
99504,0200180
99515,0200180
99577,0200180
99508,0200180
99502,0200180
99501,0200180
99508,0200180
99504,0200180
99502,0200180
99501,0200180
99567,0200180
99577,0200180
99508,0200180
99504,0200180
99501,0200180
99502,0200180
99577,0200180
99508,0200180
99501,0200180
99587,0200180
99502,0200180
99577,0200180
99516,0200180
99501,0200180
99507,0200180
99505,0200180
99508,0200180
99507,0200180
99503,0200180
99508,0200180
99506,0200180
99504,0200180
99503,0200180
99503,0200180
99517,0200180
99504,0200180
99516,0200180
99515,0200180
99506,0200180
99507,0200180
99504,0200180
99516,0200180
99577,0200180
99508,0200180
99503,0200180
99508,0200180
99502,0200180
99518,0200180
99508,0200180
99504,0200180
99508,0200180
99503,0200180
99504,0200180
99507,0200180
99505,0200180
99508,0200180
99517,0200180
99508,0200180
99508,0200180
99503,0200180
99508,0200180
99505,0200180
99508,0200180
99508,0200180
99501,0200180
99577,0200180
99515,0200180
99508,0200180
99506,0200180
99507,0200180
99577,0200180
99516,0200180
99516,0200180
99507,0200180
99515,0200180
99508,0200180
99577,0200180
99506,0200180
99518,0200180
99501,0200180
99801,0200210
99801,0200210
99801,0200210
99801,0200210
99801,0200210
99801,0200210
99801,0200210
99801,0200210
99801,0200210
99850,0200240
99835,0200240
99835,0200240
99835,0200240
99835,0200240
99835,0200240
99835,0200240
99835,0200240
99835,0200240
99827,0200270
99827,0200270
99827,0200270
99827,0200270
99827,0200270
99829,0200300
99829,0200300
99922,0200330
99922,0200330
99830,0200360
99830,0200360
99611,0200390
99603,0200390
99669,0200390
99556,0200390
99682,0200390
99572,0200390
99603,0200390
99603,0200390
99603,0200390
99605,0200390
99631,0200390
99556,0200390
99639,0200390
99635,0200390
99603,0200390
99664,0200390
99669,0200390
99672,0200390
99611,0200390
99663,0200390
99610,0200390
99669,0200390
99669,0200390
99603,0200390
99603,0200390
99611,0200390
99611,0200390
99669,0200390
99664,0200390
99669,0200390
99669,0200390
99603,0200390
99603,0200390
99611,0200390
99635,0200390
99603,0200390
99635,0200390
99669,0200390
99603,0200390
99925,0200450
99925,0200450
99615,0200480
99615,0200480
99615,0200480
99615,0200480
99608,0200480
99615,0200480
99615,0200480
99624,0200480
99615,0200480
99643,0200480
99615,0200480
99550,0200480
99644,0200480
99615,0200480
99615,0200480
99615,0200480
99564,0200485
99565,0200485
99548,0200485
99579,0200485
99613,0200485
99606,0200485
99606,0200485
99640,0200485
99647,0200485
99648,0200485
99649,0200485
99653,0200485
99549,0200485
99625,0200485
99502,0200485
99613,0200485
99645,0200510
99654,0200510
99645,0200510
99654,0200510
99645,0200510
99645,0200510
99667,0200510
99676,0200510
99645,0200510
99654,0200510
99645,0200510
99687,0200510
99645,0200510
99654,0200510
99687,0200510
99645,0200510
99645,0200510
99652,0200510
99645,0200510
99645,0200510
99654,0200510
99688,0200510
99683,0200510
99676,0200510
99645,0200510
99674,0200510
99645,0200510
99652,0200510
99757,0200520
99558,0200520
99590,0200520
99602,0200520
99627,0200520
99627,0200520
99691,0200520
99665,0200520
99675,0200520
99627,0200520
99926,0200525
99926,0200525
99926,0200525
99760,0200540
99762,0200570
99762,0200570
99762,0200570
99701,0200600
99709,0200600
99709,0200600
99703,0200600
99701,0200600
99702,0200600
99707,0200600
99701,0200600
99702,0200600
99701,0200600
99709,0200600
99701,0200600
99701,0200600
99701,0200600
99701,0200600
99705,0200600
99701,0200600
99701,0200600
99701,0200600
99701,0200600
99709,0200600
99709,0200600
99701,0200600
99702,0200600
99702,0200600
99701,0200600
99701,0200600
99701,0200600
99709,0200600
99705,0200600
99705,0200600
99723,0200610
99721,0200610
99791,0200610
99723,0200610
99723,0200610
99747,0200610
99789,0200610
99766,0200610
99759,0200610
99782,0200610
99723,0200610
99786,0200625
99727,0200625
99736,0200625
99749,0200625
99751,0200625
99752,0200625
99750,0200625
99761,0200625
99763,0200625
99773,0200625
99770,0200625
99752,0200625
99752,0200625
99752,0200625
99752,0200625
99832,0200630
99833,0200660
99833,0200660
99833,0200660
99591,0200670
99660,0200670
99660,0200670
99658,0200680
99658,0200680
99840,0200690
99918,0200700
99950,0200700
99950,0200700
99950,0200700
99903,0200700
99836,0200700
99919,0200700
99950,0200700
99901,0200700
99901,0200700
99950,0200700
99950,0200700
99835,0200700
99950,0200700
99950,0200700
99901,0200700
99950,0200700
99950,0200700
99555,0200710
99569,0200710
99576,0200710
99628,0200710
99636,0200710
99678,0200710
99580,0200710
99695,0200710
99777,0200715
99685,0200720
99685,0200720
99820,0200730
99826,0200730
99841,0200730
99820,0200730
99827,0200730
99825,0200730
99850,0200730
99850,0200730
99557,0200760
99557,0200760
99575,0200760
99626,0200760
99656,0200760
99668,0200760
99557,0200760
99557,0200760
99607,0200760
99557,0200760
99557,0200760
99607,0200760
99744,0200770
99729,0200770
99743,0200770
99743,0200770
99710,0200775
99722,0200775
99740,0200775
99788,0200775
99733,0200775
99740,0200775
99767,0200775
99774,0200775
99781,0200775
99740,0200775
99730,0200775
99724,0200775
99740,0200775
99686,0200780
99686,0200780
99686,0200780
99686,0200780
99677,0200800
99693,0200800
99686,0200800
99574,0200800
99574,0200800
